delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,PD Salt,Mohammed Siraj,0,V Kohli,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
0.2,V Kohli,Mohammed Siraj,0,PD Salt,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
0.3,V Kohli,Mohammed Siraj,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
0.4,PD Salt,Mohammed Siraj,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
0.5,PD Salt,Mohammed Siraj,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
0.6,PD Salt,Mohammed Siraj,0,V Kohli,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.1,V Kohli,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.2,V Kohli,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.3,V Kohli,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.4,V Kohli,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'V Kohli', 'fielders': ['M Prasidh Krishna'], 'kind': 'caught'}",0.0,0,0.0,0,0,caught,V Kohli,['M Prasidh Krishna'],0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.5,D Padikkal,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
1.6,D Padikkal,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.1,PD Salt,Mohammed Siraj,{'legbyes': 1},D Padikkal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.2,D Padikkal,Mohammed Siraj,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'D Padikkal', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,D Padikkal,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.3,RM Patidar,Mohammed Siraj,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.4,RM Patidar,Mohammed Siraj,{'legbyes': 1},PD Salt,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.5,PD Salt,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
2.6,PD Salt,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.1,PD Salt,Arshad Khan,{'legbyes': 1},RM Patidar,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.2,RM Patidar,Arshad Khan,{'wides': 1},PD Salt,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.3,RM Patidar,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.4,RM Patidar,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.5,RM Patidar,Arshad Khan,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.6,PD Salt,Arshad Khan,0,RM Patidar,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
3.7,PD Salt,Arshad Khan,0,RM Patidar,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.1,PD Salt,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.2,RM Patidar,Mohammed Siraj,0,PD Salt,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.3,PD Salt,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.4,PD Salt,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'PD Salt', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,PD Salt,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.5,LS Livingstone,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
4.6,LS Livingstone,Mohammed Siraj,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.1,RM Patidar,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.2,LS Livingstone,M Prasidh Krishna,0,RM Patidar,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.3,LS Livingstone,M Prasidh Krishna,{'legbyes': 1},RM Patidar,"{'extras': 1, 'total': 1, 'batsman': 0}",0,0.0,0,1.0,0,0,0,0,0,0,1,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.4,RM Patidar,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.5,RM Patidar,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
5.6,RM Patidar,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.1,RM Patidar,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.2,RM Patidar,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'RM Patidar', 'kind': 'lbw'}",0.0,0,0.0,0,0,lbw,RM Patidar,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.3,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.4,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.5,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
6.6,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.1,LS Livingstone,M Prasidh Krishna,0,JM Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.2,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.3,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.4,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.5,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
7.6,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.1,LS Livingstone,I Sharma,0,JM Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.2,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.3,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.4,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.5,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
8.6,JM Sharma,I Sharma,0,LS Livingstone,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.1,LS Livingstone,M Prasidh Krishna,0,JM Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.2,LS Livingstone,M Prasidh Krishna,0,JM Sharma,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.3,LS Livingstone,M Prasidh Krishna,0,JM Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.4,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.5,LS Livingstone,M Prasidh Krishna,0,JM Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
9.6,JM Sharma,M Prasidh Krishna,0,LS Livingstone,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
10.1,LS Livingstone,R Sai Kishore,0,JM Sharma,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
10.2,JM Sharma,R Sai Kishore,0,LS Livingstone,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
10.3,LS Livingstone,R Sai Kishore,0,JM Sharma,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Royal Challengers Bengaluru,Bengaluru,2025-04-02,male,T20,0,Gujarat Titans,wickets,8,0,0,0,0,Mohammed Siraj,20,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,field,"M Chinnaswamy Stadium, Bengaluru"
