delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,B Sai Sudharsan,JC Archer,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.2,B Sai Sudharsan,JC Archer,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.3,B Sai Sudharsan,JC Archer,0,Shubman Gill,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.4,Shubman Gill,JC Archer,{'wides': 1},B Sai Sudharsan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.5,Shubman Gill,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.6,B Sai Sudharsan,JC Archer,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
0.7,B Sai Sudharsan,JC Archer,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.1,Shubman Gill,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.2,B Sai Sudharsan,Fazalhaq Farooqi,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.3,B Sai Sudharsan,Fazalhaq Farooqi,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.4,B Sai Sudharsan,Fazalhaq Farooqi,0,Shubman Gill,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.5,B Sai Sudharsan,Fazalhaq Farooqi,0,Shubman Gill,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
1.6,B Sai Sudharsan,Fazalhaq Farooqi,0,Shubman Gill,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.1,Shubman Gill,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'Shubman Gill', 'kind': 'bowled'}",0.0,0,0,0.0,0,bowled,Shubman Gill,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.2,JC Buttler,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.3,JC Buttler,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.4,JC Buttler,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.5,JC Buttler,JC Archer,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
2.6,B Sai Sudharsan,JC Archer,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.1,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.2,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.3,B Sai Sudharsan,Fazalhaq Farooqi,0,JC Buttler,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0,0.0,0,0,0,0,6,0,6,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.4,B Sai Sudharsan,Fazalhaq Farooqi,0,JC Buttler,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.5,B Sai Sudharsan,Fazalhaq Farooqi,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
3.6,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.1,B Sai Sudharsan,TU Deshpande,{'wides': 1},JC Buttler,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.2,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.3,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0,0.0,0,0,0,0,6,0,6,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.4,B Sai Sudharsan,TU Deshpande,{'wides': 1},JC Buttler,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.5,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.6,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.7,JC Buttler,TU Deshpande,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
4.8,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.1,JC Buttler,Sandeep Sharma,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.2,JC Buttler,Sandeep Sharma,{'wides': 1},B Sai Sudharsan,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.3,JC Buttler,Sandeep Sharma,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.4,B Sai Sudharsan,Sandeep Sharma,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.5,JC Buttler,Sandeep Sharma,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.6,B Sai Sudharsan,Sandeep Sharma,0,JC Buttler,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
5.7,B Sai Sudharsan,Sandeep Sharma,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.1,B Sai Sudharsan,Fazalhaq Farooqi,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.2,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.3,B Sai Sudharsan,Fazalhaq Farooqi,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.4,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.5,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
6.6,JC Buttler,Fazalhaq Farooqi,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.1,B Sai Sudharsan,M Theekshana,{'wides': 1},JC Buttler,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.2,B Sai Sudharsan,M Theekshana,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.3,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.4,B Sai Sudharsan,M Theekshana,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.5,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.6,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
7.7,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.1,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.2,JC Buttler,TU Deshpande,0,B Sai Sudharsan,"{'extras': 0, 'total': 2, 'batsman': 2}",0,0.0,0,0,0.0,0,0,0,0,2,0,2,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.3,JC Buttler,TU Deshpande,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.4,B Sai Sudharsan,TU Deshpande,{'wides': 1},JC Buttler,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0,0.0,0,0,0,0,0,1,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.5,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.6,JC Buttler,TU Deshpande,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
8.7,B Sai Sudharsan,TU Deshpande,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.1,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.2,B Sai Sudharsan,M Theekshana,0,JC Buttler,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.3,B Sai Sudharsan,M Theekshana,0,JC Buttler,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0,0.0,0,0,0,0,4,0,4,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.4,B Sai Sudharsan,M Theekshana,0,JC Buttler,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0,0.0,0,0,0,0,1,0,1,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.5,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0,0.0,0,0,0,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
9.6,JC Buttler,M Theekshana,0,B Sai Sudharsan,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'JC Buttler', 'kind': 'lbw'}",0.0,0,0,0.0,0,lbw,JC Buttler,0,0,0,0,Gujarat Titans,Ahmedabad,2025-04-09,male,T20,0,Gujarat Titans,runs,58,0,0,0,0,B Sai Sudharsan,20,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,"Narendra Modi Stadium, Ahmedabad"
