delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
2.3,SV Samson,SH Johnson,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
2.4,YBK Jaiswal,SH Johnson,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
2.5,YBK Jaiswal,SH Johnson,0,SV Samson,"{'extras': 0, 'total': 6, 'batsman': 6}",0,0.0,0,0.0,0,0,0,0,0,6,0,6,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
2.6,YBK Jaiswal,SH Johnson,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.1,SV Samson,VG Arora,0,YBK Jaiswal,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.2,SV Samson,VG Arora,{'wides': 1},YBK Jaiswal,"{'extras': 1, 'total': 1, 'batsman': 0}",0,1.0,0,0.0,0,0,0,0,0,0,1,1,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.3,SV Samson,VG Arora,0,YBK Jaiswal,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.4,YBK Jaiswal,VG Arora,0,SV Samson,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0,0.0,0,0,0,0,0,0,0,0,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.5,YBK Jaiswal,VG Arora,0,SV Samson,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
3.6,SV Samson,VG Arora,0,YBK Jaiswal,"{'extras': 0, 'total': 0, 'batsman': 0}","{'player_out': 'SV Samson', 'kind': 'bowled'}",0.0,0,0.0,0,0,bowled,SV Samson,0,0,0,0,Rajasthan Royals,Guwahati,2025-03-26,male,T20,0,Kolkata Knight Riders,wickets,8,0,0,0,0,Q de Kock,20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,"Barsapara Cricket Stadium, Guwahati"
