delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
2.4,PP Shaw,PP Chawla,0,C Munro,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
2.5,PP Shaw,PP Chawla,0,C Munro,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
2.6,PP Shaw,PP Chawla,0,C Munro,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.1,PP Shaw,Shivam Mavi,0,C Munro,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.2,PP Shaw,Shivam Mavi,0,C Munro,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.3,PP Shaw,Shivam Mavi,0,C Munro,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.4,PP Shaw,Shivam Mavi,0,C Munro,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.5,C Munro,Shivam Mavi,0,PP Shaw,"{'extras': 0, 'total': 4, 'batsman': 4}",0,0.0,0.0,0.0,0,0,0,0,0,4,0,4,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
3.6,C Munro,Shivam Mavi,0,PP Shaw,"{'extras': 0, 'total': 0, 'batsman': 0}",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
4.1,PP Shaw,SP Narine,0,C Munro,"{'extras': 0, 'total': 1, 'batsman': 1}",0,0.0,0.0,0.0,0,0,0,0,0,1,0,1,Delhi Daredevils,Delhi,2018-04-27,male,T20,0,Delhi Daredevils,runs,55,0,0,0,0,SS Iyer,20,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Arun Jaitley Stadium
